"dataset","system","mr_type","mr","sys_ref","TER","Bleu_1","Bleu_2","Bleu_3","Bleu_4","ROUGE_L","NIST","LEPOR","CIDEr","METEOR","sim.mr.sys","lev.dist","sys.read.flesch","sys.cpw","sys.ref.len","sys.wps","sys.sps","sys.spw","sys.n.poly","sys.pspw","n.misspel","parser.sc.mean","parser.sc.max","informativeness","naturalness","quality","domain","inf_bin","nat_bin","qual_bin","inf_bin2","nat_bin2","qual_bin2"
"BAGEL","Dusek","inform","inform(name=none,area=citycentre,near='X')","there is sorry no information matching constraints near x.",0.827586207,0.25500152,4.28E-009,1.14E-011,6.15E-013,0.251028807,1.7878,0.185317946,0.463190871,0.19705973,0.3971511,44,66.1,5.444,49,9,14,1.556,1,0.111,0,-88.267347753,-88.267347753,6,4,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name=none,area='X',near='X')","i'm no venues in the x area near x.",0.580645161,0.545877594,0.469816629,0.406031609,0.363194176,0.590799031,2.1082,0.216495781,0.921374927,0.313866831,0.65487546,28,103.7,2.889,26,9,10,1.111,1,0.111,0,-101.2210296988,-101.2210296988,3,3,3,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name=none,near='X',area=citycentre)","there is sorry no information matching constraints near x.",0.555555556,0.357331196,0.248118303,0.00000159,4.19E-009,0.456928839,0.4923,0.240388838,0.465581628,0.243786749,0.3971511,47,66.1,5.444,49,9,14,1.556,1,0.111,0,-88.267347753,-88.267347753,3,3,5,"REST","avg","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name=none,near='X',area=riverside)","i'm sorry there are no venues near x.",0.666666667,0.306283883,0.187559807,0.00000132,3.65E-009,0.456928839,1.2699,0.123006427,0.502037254,0.212609952,0.3884843,35,103.54,3.625,29,8,9,1.125,0,0,0,-94.668432653,-94.668432653,2,6,6,"REST","bad","good","good","Bad","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name=none,near='X',area='X')","i'm sorry there is no information about a venue in the x area near x i'm.",0.666666667,0.555555556,0.404226042,0.312907964,0.252811687,0.566500829,3.4292,0.321646193,0.490759417,0.446346452,0.44059476,57,74.27,3.562,57,16,22,1.375,2,0.125,0,-160.7162842155,-160.7162842155,6,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name=none,type=placetoeat,eattype=restaurant,near='X',food=English)","i'm near x.",0.666666667,0.11156508,2.88E-009,9.75E-012,6.74E-013,0.171348315,0.2315,0.000875122,0.009274546,0.139805755,0.5555556,68,147.39,2.667,8,3,2,0.667,0,0,0,-53.0464538932,-53.0464538932,3,4,2,"REST","avg","avg","bad","Good+Avg","Good+Avg","Bad"
"BAGEL","Dusek","inform","inform(name='X',area=riverside,eattype=restaurant,food=Fastfood,pricerange=cheap)","x is a restaurant on the riverside called located at the riverside and at is.",1,0.466666667,0.316227766,0.197402303,0.0000283,0.580952381,1.7964,0.2669655,0.109584274,0.284375597,0.60221213,64,67.53,4.133,62,15,22,1.467,4,0.267,0,-109.106184423,-109.106184423,1,1,2,"REST","bad","bad","bad","Bad","Bad","Bad"
"BAGEL","Dusek","inform","inform(name='X',area=riverside,food=Chinese,eattype=restaurant)","x is a chinese restaurant near the river and i serve food.",0.631578947,0.5,0.426401433,0.379244701,0.33180774,0.586538462,3.7773,0.401843986,1.386109383,0.310237444,0.5578257,55,88.905,3.833,46,12,15,1.25,1,0.083,0,-101.6788238883,-101.6788238883,4,3,3,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',area='X',eattype=restaurant,food=Chinese)","x is a chinese food restaurant near x.",0.375,0.625,0.517549169,0.446951767,0.365555223,0.674778761,4.8768,0.56264412,3.271856896,0.42058964,0.78318053,44,103.54,3.75,30,8,9,1.125,1,0.125,0,-79.3491882682,-79.3491882682,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',eattype=coffeeshop,eattype=restaurant)","x is a restaurant.",0.2,0.778800783,0.635888176,0.539990303,0.000105232,0.871428571,4.6016,0.481684902,0.163585243,0.362213962,0.5714286,42,97.025,3.5,14,4,5,1.25,1,0.25,0,-29.9525093436,-29.9525093436,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
